instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.gn6e-c12g1.3xlarge,12.0,92.0,,通用型,gn6e-c12g1,,5,80万,0,aliyun,,,,,,,,,,
ecs.gn6e-c12g1.6xlarge,24.0,182.0,,通用型,gn6e-c12g1,,8,120万,0,aliyun,,,,,,,,,,
ecs.gn6e-c12g1.12xlarge,48.0,368.0,,通用型,gn6e-c12g1,,16,240万,0,aliyun,,,,,,,,,,
ecs.gn6e-c12g1.24xlarge,96.0,736.0,,通用型,gn6e-c12g1,,32,480万,0,aliyun,,,,,,,,,,
ecs.re4.10xlarge,40.0,480.0,,内存型,re4,,8,100万,0,aliyun,,,,,,,,,,
ecs.re4.20xlarge,80.0,960.0,,内存型,re4,,15,200万,0,aliyun,,,,,,,,,,
ecs.re4.40xlarge,160.0,1920.0,,内存型,re4,,30,450万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m2.xlarge,4.0,15.5,,,sgn7i-vws-m2,,1.5/5,50万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m4.2xlarge,8.0,31.0,,,sgn7i-vws-m4,,2.5/10,100万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m8.4xlarge,16.0,62.0,,,sgn7i-vws-m8,,5/20,200万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m2s.xlarge,4.0,8.0,,,sgn7i-vws-m2s,,1.5/5,50万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m4s.2xlarge,8.0,16.0,,,sgn7i-vws-m4s,,2.5/10,100万,0,aliyun,,,,,,,,,,
ecs.sgn7i-vws-m8s.4xlarge,16.0,32.0,,,sgn7i-vws-m8s,,5/20,200万,0,aliyun,,,,,,,,,,
ecs.n4.small,1.0,2.0,,,n4,,0.5,5,0,aliyun,,,,,,,,,,
ecs.n4.large,2.0,4.0,,,n4,,0.5,10,0,aliyun,,,,,,,,,,
ecs.n4.xlarge,4.0,8.0,,,n4,,0.8,15,0,aliyun,,,,,,,,,,
ecs.n4.2xlarge,8.0,16.0,,,n4,,1.2,30,0,aliyun,,,,,,,,,,
ecs.n4.4xlarge,16.0,32.0,,,n4,,2.5,40,0,aliyun,,,,,,,,,,
