实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘IOPS基础/突发,云盘带宽基础/突发（Gbit/s）
ecs.g8a.large,2,8,1.5/12.5,90万,最高25万,2,3,6,6,2万/11万,1.5/10
ecs.g8a.xlarge,4,16,2.5/12.5,100万,最高25万,4,4,15,15,3万/11万,2/10
ecs.g8a.2xlarge,8,32,4/12.5,160万,最高25万,8,4,15,15,4.5万/11万,2.5/10
ecs.g8a.4xlarge,16,64,7/12.5,200万,30万,16,8,30,30,6万/11万,3.5/10
ecs.g8a.8xlarge,32,128,10/25,300万,60万,32,8,30,30,8万/11万,5/10
ecs.g8a.12xlarge,48,192,16/25,450万,75万,48,8,30,30,12万/无,8/10
ecs.g8a.16xlarge,64,256,20/25,600万,100万,64,8,30,30,16万/无,10/无
ecs.g8a.24xlarge,96,384,32/无,900万,150万,64,15,30,30,24万/无,16/无
ecs.g8a.32xlarge,128,512,40/无,1200万,200万,64,15,30,30,32万/无,20/无
ecs.g8a.48xlarge,192,768,64/无,1800万,300万,64,15,30,30,50万/无,32/无
