实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘IOPS基础/突发,云盘带宽基础/突发（Gbit/s）
ecs.g9i.large,2,8,2.5/最高15,100万,50万,2,3,6,6,2.5万/最高20万,2/最高10
ecs.g9i.xlarge,4,16,4/最高15,120万,50万,4,4,15,15,5万/最高20万,2.5/最高10
ecs.g9i.2xlarge,8,32,6/最高15,160万,50万,8,4,15,15,6万/最高20万,4/最高10
ecs.g9i.3xlarge,12,48,10/最高15,240万,50万,12,8,15,15,8万/最高20万,5/最高10
ecs.g9i.4xlarge,16,64,12/最高25,300万,50万,16,8,30,30,10万/最高20万,6/最高10
ecs.g9i.6xlarge,24,96,15/最高25,450万,60万,24,8,30,30,12万/最高20万,7.5/最高10
ecs.g9i.8xlarge,32,128,20/最高32,600万,80万,32,8,30,30,20万/最高30万,10/最高12
ecs.g9i.12xlarge,48,192,25/最高32,900万,160万,48,8,30,30,24万/最高32万,12/最高15
ecs.g9i.16xlarge,64,256,28/最高36,1200万,200万,64,8,30,30,30万/最高40万,16/最高24
ecs.g9i.24xlarge,96,384,32/最高48,1800万,300万,64,15,30,30,35万/最高60万,20/最高28
ecs.g9i.32xlarge,128,512,36/最高50,2000万,400万,64,15,30,30,40万/最高65万,24/最高28
ecs.g9i.48xlarge,192,768,64/无,2400万,600万,64,15,50,50,50万/最高80万,32/无
