实例规格,vCPU,内存（GiB）,GPU,GPU显存,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.gn7i-c8g1.2xlarge,8,30,NVIDIA A10 * 1,24GB * 1,16,160万,8,4,15,15
ecs.gn7i-c16g1.4xlarge,16,60,NVIDIA A10 * 1,24GB * 1,16,300万,8,8,30,30
ecs.gn7i-c32g1.8xlarge,32,188,NVIDIA A10 * 1,24GB * 1,16,600万,12,8,30,30
ecs.gn7i-c32g1.16xlarge,64,376,NVIDIA A10 * 2,24GB * 2,32,1200万,16,15,30,30
ecs.gn7i-c32g1.32xlarge,128,752,NVIDIA A10 * 4,24GB * 4,64,2400万,32,15,30,30
ecs.gn7i-c48g1.12xlarge,48,310,NVIDIA A10 * 1,24GB * 1,16,900万,16,8,30,30
ecs.gn7i-c56g1.14xlarge,56,346,NVIDIA A10 * 1,24GB * 1,16,1200万,16,12,30,30
ecs.gn7i-2x.8xlarge,32,128,NVIDIA A10 * 2,24GB * 2,16,600万,16,8,30,30
ecs.gn7i-4x.8xlarge,32,128,NVIDIA A10 * 4,24GB * 4,16,600万,16,8,30,30
ecs.gn7i-4x.16xlarge,64,256,NVIDIA A10 * 4,24GB * 4,32,1200万,32,8,30,30
ecs.gn7i-8x.32xlarge,128,512,NVIDIA A10 * 8,24GB * 8,64,2400万,32,16,30,30
ecs.gn7i-8x.16xlarge,64,256,NVIDIA A10 * 8,24GB * 8,32,1200万,32,8,30,30
