实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘IOPS基础/突发,云盘带宽基础/突发（Gbit/s）
ecs.r8i.large,2,16,2.5/最高15,100万,最高30万,2,3,6,6,2.5万/最高20万,2/最高10
ecs.r8i.xlarge,4,32,4/最高15,120万,最高30万,4,4,15,15,5万/最高20万,2.5/最高10
ecs.r8i.2xlarge,8,64,6/最高15,160万,最高30万,8,4,15,15,6万/最高20万,4/最高10
ecs.r8i.3xlarge,12,96,10/最高15,240万,最高30万,12,8,15,15,8万/最高20万,5/最高10
ecs.r8i.4xlarge,16,128,12/最高25,300万,35万,16,8,30,30,10万/最高20万,6/最高10
ecs.r8i.6xlarge,24,192,15/最高25,450万,50万,24,8,30,30,12万/最高20万,7.5/最高10
ecs.r8i.8xlarge,32,256,20/最高25,600万,80万,32,8,30,30,20万/无,10/无
ecs.r8i.12xlarge,48,384,25/无,900万,100万,48,8,30,30,30万/无,12/无
ecs.r8i.16xlarge,64,512,32/无,1200万,160万,64,8,30,30,36万/无,20/无
ecs.r8i.32xlarge,128,1024,64/无,2400万,300万,64,15,30,30,70万/无,40/无
