套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
C4.2B,2,4,-,30,2.0,2,2,6
C4.2C,2,8,-,30,2.0,2,2,6
C4.4B,4,8,-,60,2.5,4,4,6
C4.4C,4,16,-,60,2.5,4,4,6
C4.8B,8,16,-,100,3.0,4,8,10
C4.8C,8,32,-,100,3.0,4,8,10
C4.12B,12,24,-,120,4.0,4,12,15
C4.12C,12,48,-,120,4.0,4,12,15
C4.16B,16,32,-,150,6.0,4,16,20
C4.16C,16,64,-,150,6.0,4,16,20
C4.24B,24,48,-,150,12.0,6,16,20
C4.24C,24,96,-,150,12.0,6,16,20
C4.32B,32,64,-,250,12.0,8,16,20
C4.32C,32,128,-,250,12.0,8,16,20
C4.64B,64,128,-,250,12.0,8,16,20
C4.64C,64,256,-,250,12.0,8,16,20
