套餐类型名,VCPU（个）,内存容量（GB）,PPS(W),内网吞吐量（Gbps）,网卡队列数,网卡数
HKEC.1A,1,1,20,1.0,1,3
HKEC.1B,1,2,20,1.0,1,3
HKEC.1C,1,4,20,1.0,1,3
HKEC.2A,2,2,25,1.0,2,3
HKEC.2B,2,4,25,1.0,2,3
HKEC.2C,2,8,25,1.0,2,3
HKEC.4A,4,4,45,1.5,4,3
HKEC.4B,4,8,45,1.5,4,3
HKEC.4C,4,16,45,1.5,4,3
HKEC.8A,8,8,85,2.0,8,3
HKEC.8B,8,16,85,2.0,8,3
HKEC.8C,8,32,85,2.0,8,3
HKEC.12A,12,12,85,2.0,12,3
HKEC.12B,12,24,85,2.0,12,3
HKEC.12C,12,48,85,2.0,12,3
HKEC.16A,16,16,85,3.0,16,3
HKEC.16B,16,32,85,3.0,16,3
HKEC.16C,16,64,85,3.0,16,3
HKEC.24A,24,24,85,3.0,16,4
HKEC.24B,24,48,85,3.0,16,4
HKEC.24C,24,96,85,3.0,16,4
HKEC.32A,32,32,85,5.0,16,6
HKEC.32B,32,64,85,5.0,16,6
HKEC.32C,32,128,85,5.0,16,6
