套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
I3.2B,2,4,0-400,30,1.0,2,2,6
I3.2C,2,8,0-400,30,1.0,2,2,6
I3.4B,4,8,0-800,50,1.5,2,4,6
I3.4C,4,16,0-800,50,1.5,2,4,6
I3.4D,4,32,0-800,50,1.5,2,4,6
I3.8B,8,16,0-1200,80,2.5,2,8,10
I3.8C,8,32,0-1200,80,2.5,2,8,10
I3.8D,8,64,0-1200,80,2.5,2,8,10
I3.12B,12,24,0-1600,90,4.0,2,12,15
I3.12C,12,48,0-1600,90,4.0,2,12,15
I3.16B,16,32,0-1800,100,5.0,2,16,20
I3.16C,16,64,0-1800,100,5.0,2,16,20
I3.24B,24,48,0-2400,100,7.0,4,16,20
I3.24C,24,96,0-2400,100,7.0,4,16,20
I3.32B,32,64,0-3000,100,8.0,5,16,20
I3.32C,32,128,0-3000,100,8.0,5,16,20
