套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
N3.2B,2,4,–,30,1.0,2,2,6
N3.2C,2,8,–,30,1.0,2,2,6
N3.4B,4,8,–,50,1.5,2,2,6
N3.4C,4,16,–,50,1.5,2,4,6
N3.4D,4,32,–,50,1.5,2,4,6
N3.8B,8,16,–,80,2.5,2,8,10
N3.8C,8,32,–,80,2.5,2,8,10
N3.8D,8,64,–,80,2.5,2,8,10
N3.12B,12,24,–,90,4.0,2,12,15
N3.12C,12,48,–,90,4.0,2,12,15
N3.16B,16,32,–,100,5.0,2,16,20
N3.16C,16,64,–,100,5.0,2,16,20
N3.24B,24,48,–,100,7.0,4,16,20
N3.24C,24,96,–,100,7.0,4,16,20
N3.32B,32,64,–,100,8.0,5,16,20
N3.32C,32,128,–,100,8.0,5,16,20
