套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
S3.1A,1,1,0-100,20,1.0,3,1,6
S3.1B,1,2,0-100,20,1.0,3,1,6
S3.1C,1,4,0-100,20,1.0,3,1,6
S3.2A,2,2,0-200,25,1.0,3,2,6
S3.2B,2,4,0-200,25,1.0,3,2,6
S3.2C,2,8,0-200,25,1.0,3,2,6
S3.4A,4,4,0-500,45,1.5,3,4,6
S3.4B,4,8,0-500,45,1.5,3,4,6
S3.4C,4,16,0-500,45,1.5,3,4,6
S3.4D,4,32,0-500,45,1.5,3,4,6
S3.8A,8,8,0-800,85,2.0,3,8,10
S3.8B,8,16,0-800,85,2.0,3,8,10
S3.8C,8,32,0-800,85,2.0,3,8,10
S3.8D,8,64,0-800,85,2.0,3,8,10
S3.12B,12,24,0-1000,85,2.0,3,12,15
S3.12C,12,48,0-1000,85,2.0,3,12,15
S3.16A,16,16,0-1200,85,3.0,3,16,20
S3.16B,16,32,0-1200,85,3.0,3,16,20
S3.16C,16,64,0-1200,85,3.0,3,16,20
S3.24B,24,48,0-1500,85,3.0,4,16,20
S3.24C,24,96,0-1500,85,3.0,4,16,20
S3.32B,32,64,0-2000,85,5.0,6,16,20
S3.32C,32,128,0-2000,85,5.0,6,16,20
