套餐名称,vCPU（个）,内存容量（GB）,"数据盘容量(GB,本地SSD)",PPS（万）,内网吞吐量（Gbps）,弹性网卡数（个）,网卡队列数（个）,单网卡私有IP（个）
S4E.1A,1,1,-,25,1.5,2,1,6
S4E.1B,1,2,-,25,1.5,2,1,6
S4E.1C,1,4,-,25,1.5,2,1,6
S4E.2A,2,2,-,30,1.5,2,2,6
S4E.2B,2,4,-,30,1.5,2,2,6
S4E.2C,2,8,-,30,1.5,2,2,6
S4E.4A,4,4,-,50,2,2,4,6
S4E.4B,4,8,-,50,2,2,4,6
S4E.4C,4,16,-,50,2,2,4,6
S4E.8A,8,8,-,85,3,2,8,10
S4E.8B,8,16,-,85,3,2,8,10
S4E.8C,8,32,-,85,3,2,8,10
S4E.12B,12,24,-,85,3,2,12,15
S4E.12C,12,48,-,85,3,2,12,15
S4E.16A,16,16,-,100,6,2,16,20
S4E.16B,16,32,-,100,6,2,16,20
S4E.16C,16,64,-,100,6,2,16,20
S4E.24B,24,48,-,100,6,3,16,20
S4E.24C,24,96,-,100,6,3,16,20
S4E.32B,32,64,-,150,10,5,16,20
S4E.32C,32,128,-,150,10,5,16,20
