套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个),云盘IOPS,云盘带宽（Gbps）
S6.1A,1,1,-,25,1.5,2,1,6,0.5万,0.5
S6.1B,1,2,-,25,1.5,2,1,6,0.5万,0.5
S6.1C,1,4,-,25,1.5,2,1,6,0.5万,0.5
S6.1D,1,8,-,25,1.5,2,1,6,0.5万,0.5
S6.2A,2,2,-,30,1.5,2,2,6,1万,1.0
S6.2B,2,4,-,30,1.5,2,2,6,1万,1.0
S6.2C,2,8,-,30,1.5,2,2,6,1万,1.0
S6.2D,2,16,-,30,1.5,2,2,6,1万,1.0
S6.4A,4,4,-,50,2.0,2,4,6,1.5万,2.0
S6.4B,4,8,-,50,2.0,2,4,6,1.5万,2.0
S6.4C,4,16,-,50,2.0,2,4,6,1.5万,2.0
S6.4D,4,32,-,50,2.0,2,4,6,1.5万,2.0
S6.8A,8,8,-,80,3.0,2,8,10,2万,3.0
S6.8B,8,16,-,80,3.0,2,8,10,2万,3.0
S6.8C,8,32,-,80,3.0,2,8,10,2万,3.0
S6.8D,8,64,-,80,3.0,2,8,10,2万,3.0
S6.12A,12,12,-,110,4.0,3,12,15,2.5万,4.0
S6.12B,12,24,-,110,4.0,3,12,15,2.5万,4.0
S6.12C,12,48,-,110,4.0,3,12,15,2.5万,4.0
S6.12D,12,96,-,110,4.0,3,12,15,2.5万,4.0
S6.16A,16,16,-,150,6.0,4,16,20,3万,5.0
S6.16B,16,32,-,150,6.0,4,16,20,3万,5.0
S6.16C,16,64,-,150,6.0,4,16,20,3万,5.0
S6.16D,16,128,-,150,6.0,4,16,20,3万,5.0
S6.24A,24,24,-,200,6.0,4,16,20,4万,6.0
S6.24B,24,48,-,200,6.0,4,16,20,4万,6.0
S6.24C,24,96,-,200,6.0,4,16,20,4万,6.0
S6.24D,24,192,-,200,6.0,4,16,20,4万,6.0
S6.32A,32,32,-,300,12.0,4,16,20,5万,8.0
S6.32B,32,64,-,300,12.0,4,16,20,5万,8.0
S6.32C,32,128,-,300,12.0,4,16,20,5万,8.0
S6.32D,32,256,-,300,12.0,4,16,20,5万,8.0
