套餐类型名,vCPU(个),内存容量(GB),PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个),连接数(万),云盘IOPS(万),云盘(Gbps)
SE9.2A,2,2,100,1.5,3,2,6,30,3,1.0
SE9.2B,2,4,100,1.5,3,2,6,30,3,1.0
SE9.2C,2,8,100,1.5,3,2,6,30,3,1.0
SE9.4A,4,4,120,1.5,4,4,15,30,3,1.0
SE9.4B,4,8,120,1.5,4,4,15,30,5,1.5
SE9.4C,4,16,120,1.5,4,4,15,30,5,1.5
SE9.8B,8,16,160,3.0,4,8,15,30,6,2.0
SE9.8C,8,32,160,3.0,4,8,15,30,6,2.0
SE9.12B,12,24,240,3.0,8,12,15,35,8,2.5
SE9.12C,12,48,240,5.0,8,12,15,35,8,2.5
SE9.16B,16,32,300,5.0,8,16,30,50,10,3.0
SE9.16C,16,64,300,5.0,8,16,30,50,10,3.0
SE9.24B,24,48,450,10.0,8,24,30,75,20,4.5
SE9.24C,24,96,450,10.0,8,24,30,75,20,4.5
SE9.32B,32,64,600,15.0,8,32,30,100,25,6.0
SE9.32C,32,128,600,15.0,8,32,30,100,25,6.0
SE9.48B,48,96,900,20.0,8,32,30,150,40,9.0
SE9.48C,48,192,900,20.0,8,32,30,150,40,9.0
SE9.64B,64,128,1200,25.0,8,32,30,200,50,12.0
SE9.64C,64,256,1200,25.0,8,32,30,200,50,12.0
SE9.96B,96,192,1800,40.0,15,32,30,300,75,18.0
SE9.96C,96,384,1800,40.0,15,32,30,300,75,18.0
SE9.128B,128,256,2400,50.0,15,32,50,400,100,24.0
SE9.128C,128,512,2400,50.0,15,32,50,400,100,24.0
SE9.240B,240,480,2400,75.0,15,32,50,400,100,48.0
SE9.240C,240,960,2400,75.0,15,32,50,400,100,48.0
SE9.256B,256,512,2400,100.0,15,32,50,400,100,48.0
