套餐类型名,vCPU(个),内存容量(GB),PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个),连接数（万）,云盘IOPS,云盘带宽（Gbps）
X6.2B,2,4,30,1.5,2,2,6,30,1万,2
X6.2C,2,8,30,1.5,2,2,6,30,1万,2
X6.4B,4,8,50,2.0,3,4,6,30,2万,3
X6.4C,4,16,50,2.0,3,4,6,30,2万,3
X6.8B,8,16,80,3.0,4,8,10,30,2.5万,4
X6.8C,8,32,80,3.0,4,8,10,30,2.5万,4
X6.12B,12,24,110,4.0,6,12,15,35,3万,5
X6.12C,12,48,110,4.0,6,12,15,35,3万,5
X6.16B,16,32,150,6.0,8,16,20,50,4万,6
X6.16C,16,64,150,6.0,8,16,20,50,4万,6
X6.24B,24,48,200,8.0,8,16,20,75,5万,8
X6.24C,24,96,200,8.0,8,16,20,75,5万,8
X6.32B,32,64,300,12.0,8,16,20,100,6万,10
X6.32C,32,128,300,12.0,8,16,20,100,6万,10
X6.64B,64,128,500,20.0,8,16,20,200,10万,16
X6.64C,64,256,500,20.0,8,16,20,200,10万,16
X6.112B,112,224,500,25.0,8,16,20,400,20万,24
X6.112C,112,448,500,25.0,8,16,20,400,20万,24
