套餐类型名,vCPU(个),内存容量(GB),PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
X6S.2B,2,4,30,2,2,2,6
X6S.2C,2,8,30,2,2,2,6
X6S.4B,4,8,60,3,3,4,6
X6S.4C,4,16,60,3,3,4,6
X6S.8B,8,16,120,6,4,8,10
X6S.8C,8,32,120,6,4,8,10
X6S.12B,12,24,160,10,6,12,15
X6S.12C,12,48,160,10,6,12,15
X6S.16B,16,32,250,12,8,16,20
X6S.16C,16,64,250,12,8,16,20
X6S.24B,24,48,400,18,8,16,20
X6S.24C,24,96,400,18,8,16,20
X6S.32B,32,64,500,24,8,16,20
X6S.32C,32,128,500,24,8,16,20
X6S.48B,48,96,700,32,8,16,20
X6S.48C,48,192,700,32,8,16,20
X6S.64B,64,128,1000,45,8,16,20
X6S.64C,64,256,1000,45,8,16,20
