套餐类型名,vCPU(个),内存容量(GB),PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个),连接数(万),云盘IOPS(万),云盘(Gbps)
X8.2B,2,4,100,4,3,2,6,30,3,3
X8.2C,2,8,100,4,3,2,6,30,3,3
X8.4B,4,8,120,6,4,4,15,30,5,4
X8.4C,4,16,120,6,4,4,15,30,5,4
X8.8B,8,16,160,8,4,8,15,30,6,5
X8.8C,8,32,160,8,4,8,15,30,6,5
X8.12B,12,24,240,12,8,12,15,35,8,6
X8.12C,12,48,240,12,8,12,15,35,8,6
X8.16B,16,32,300,15,8,16,30,50,10,8
X8.16C,16,64,300,15,8,16,30,50,10,8
X8.24B,24,48,450,20,8,24,30,75,20,10
X8.24C,24,96,450,20,8,24,30,75,20,10
X8.32B,32,64,600,25,8,32,30,100,25,12
X8.32C,32,128,600,25,8,32,30,100,25,12
X8.48B,48,96,900,40,8,32,30,150,40,16
X8.48C,48,192,900,40,8,32,30,150,40,16
X8.64B,64,128,1200,50,8,32,30,200,50,24
X8.64C,64,256,1200,50,8,32,30,200,50,24
X8.96B,96,192,1800,75,15,32,30,300,75,32
X8.96C,96,384,1800,75,15,32,30,300,75,32
X8.128B,128,256,2400,100,15,32,50,400,100,48
X8.128C,128,512,2400,100,15,32,50,400,100,48
