套餐类型名,vCPU(个),内存容量(GB),PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个),连接数(万),云盘IOPS(万),云盘(Gbps)
X9a.2B,2,4,100,1.5,3,2,6,30,3,3
X9a.2C,2,8,100,1.5,3,2,6,30,3,3
X9a.4B,4,8,120,1.5,4,4,15,30,5,4
X9a.4C,4,16,120,1.5,4,4,15,30,5,4
X9a.8B,8,16,160,3.0,4,8,15,30,6,5
X9a.8C,8,32,160,3.0,4,8,15,30,6,5
X9a.16B,16,32,300,5.0,8,16,30,50,10,8
X9a.16C,16,64,300,5.0,8,16,30,50,10,8
X9a.32B,32,64,600,15.0,8,32,30,100,25,12
X9a.32C,32,128,600,15.0,8,32,30,100,25,12
X9a.64B,64,128,1200,25.0,8,32,30,200,50,24
X9a.64C,64,256,1200,25.0,8,32,30,200,50,24
X9a.128B,128,256,2400,50.0,15,32,50,400,100,48
X9a.128C,128,512,2400,50.0,15,32,50,400,100,48
X9a.192B,192,384,2400,100.0,15,32,50,400,100,48
X9a.192C,192,768,2400,100.0,15,32,50,400,100,48
X9a.256B,256,512,2400,100.0,15,32,50,400,100,48
X9a.256C,256,1024,2400,100.0,15,32,50,400,100,48
