CPU©,内存（G）,价格单位,中国大陆 Linux/Windows,新加坡Linux,新加坡Windows,金融专区
1,2,元/小时,0.2622,0.4796,0.9595,0.4192
1,4,元/小时,0.3934,0.6262,1.2529,0.6288
2,4,元/小时,0.5244,0.9592,1.919,0.8384
2,8,元/小时,0.7868,1.2524,2.5058,1.2576
4,8,元/小时,1.0488,1.9184,3.838,1.6768
4,16,元/小时,1.5736,2.5048,5.0116,2.5152
8,16,元/小时,2.0976,3.8368,7.676,3.3536
8,32,元/小时,3.1472,5.0096,10.0232,5.0304
12,24,元/小时,3.1464,5.7552,11.514,5.0304
12,48,元/小时,4.7208,7.5144,15.0348,7.5456
16,32,元/小时,4.1952,7.6736,15.352,6.7072
16,64,元/小时,6.2944,10.0192,20.0464,10.0608
24,48,元/小时,6.2928,11.5104,23.028,10.0608
24,96,元/小时,9.4416,15.0288,30.0696,15.0912
32,64,元/小时,8.3904,15.3472,30.704,13.4144
32,128,元/小时,12.5888,20.0384,40.0928,20.1216
