CPU©,内存（G）,价格单位,中国大陆Linux/ Windows,中国香港 Linux,中国香港 Windows,新加坡Linux,新加坡Windows,金融专区
1,1,元/小时,0.1497,0.2395,0.479,0.2395,0.479,0.2395
1,2,元/小时,0.175,0.2799,0.5598,0.2799,0.5598,0.2799
1,4,元/小时,0.2256,0.3607,0.7214,0.3607,0.7214,0.3607
1,8,元/小时,0.3268,0.5223,1.0446,0.5223,1.0446,0.5223
2,2,元/小时,0.2994,0.479,0.958,0.479,0.958,0.479
2,4,元/小时,0.35,0.5598,1.1196,0.5598,1.1196,0.5598
2,8,元/小时,0.4512,0.7214,1.4428,0.7214,1.4428,0.7214
2,16,元/小时,0.6536,1.0446,2.0892,1.0446,2.0892,1.0446
4,4,元/小时,0.5988,0.958,1.916,0.958,1.916,0.958
4,8,元/小时,0.7,1.1196,2.2392,1.1196,2.2392,1.1196
4,16,元/小时,0.9024,1.4428,2.8856,1.4428,2.8856,1.4428
4,32,元/小时,1.3072,2.0892,4.1784,2.0892,4.1784,2.0892
8,8,元/小时,1.1976,1.916,3.832,1.916,3.832,1.916
8,16,元/小时,1.4,2.2392,4.4784,2.2392,4.4784,2.2392
8,32,元/小时,1.8048,2.8856,5.7712,2.8856,5.7712,2.8856
8,64,元/小时,2.6144,4.1784,8.3568,4.1784,8.3568,4.1784
12,12,元/小时,1.7964,2.874,5.748,2.874,5.748,2.874
12,24,元/小时,2.1,3.3588,6.7176,3.3588,6.7176,3.3588
12,48,元/小时,2.7072,4.3284,8.6568,4.3284,8.6568,4.3284
12,96,元/小时,3.9216,6.2676,12.5352,6.2676,12.5352,6.2676
16,16,元/小时,2.3952,3.832,7.664,3.832,7.664,3.832
16,32,元/小时,2.8,4.4784,8.9568,4.4784,8.9568,4.4784
16,64,元/小时,3.6096,5.7712,11.5424,5.7712,11.5424,5.7712
16,128,元/小时,5.2288,8.3568,16.7136,8.3568,16.7136,8.3568
24,24,元/小时,3.5928,5.748,11.496,5.748,11.496,5.748
24,48,元/小时,4.2,6.7176,13.4352,6.7176,13.4352,6.7176
24,96,元/小时,5.4144,8.6568,17.3136,8.6568,17.3136,8.6568
24,192,元/小时,7.8432,12.5352,25.0704,12.5352,25.0704,12.5352
32,32,元/小时,4.7904,7.664,15.328,7.664,15.328,7.664
32,64,元/小时,5.6,8.9568,17.9136,8.9568,17.9136,8.9568
32,128,元/小时,7.2192,11.5424,23.0848,11.5424,23.0848,11.5424
32,256,元/小时,10.4576,16.7136,33.4272,16.7136,33.4272,16.7136
64,64,元/小时,9.5808,15.328,30.656,15.328,30.656,15.328
64,128,元/小时,11.2,17.9136,35.8272,17.9136,35.8272,17.9136
64,256,元/小时,14.4384,23.0848,46.1696,23.0848,46.1696,23.0848
